Timestamp,Way of Making,Amount eaten in a week
23/03/2023 11:55:08,Cereal first,0
23/03/2023 11:58:52,Cereal first,3
23/03/2023 12:02:23,Cereal first,1
23/03/2023 12:12:44,Cereal first,1
23/03/2023 13:57:43,Cereal first,7
23/03/2023 17:06:30,Cereal first,5
23/03/2023 17:06:32,Cereal first,7
23/03/2023 17:12:20,Cereal first,2
23/03/2023 18:17:45,Cereal first,4
23/03/2023 19:56:28,Cereal first,5
24/03/2023 16:06:51,Milk first,1
24/03/2023 16:45:37,Cereal first,4
25/03/2023 16:48:39,Milk first,2
26/03/2023 19:53:05,Cereal first,2
26/03/2023 19:53:08,Cereal first,1
26/03/2023 19:53:38,Milk first,6
26/03/2023 19:54:23,Milk first,30
29/03/2023 21:45:43,Cereal first,5
02/04/2023 19:50:51,Milk first,2
02/04/2023 20:18:17,Cereal first,4
02/04/2023 20:18:23,Milk first,5
02/04/2023 20:18:31,Cereal first,4
02/04/2023 20:18:34,Cereal first,2
02/04/2023 20:18:37,Cereal first,3
02/04/2023 20:18:42,Milk first,2
02/04/2023 20:18:49,Cereal first,1
02/04/2023 20:19:30,Cereal first,5
02/04/2023 20:19:38,Milk first,1
02/04/2023 20:24:13,Cereal first,3
02/04/2023 20:28:20,Cereal first,4
02/04/2023 20:30:05,Cereal first,3
02/04/2023 20:35:35,Cereal first,32
02/04/2023 20:36:28,Cereal first,3
02/04/2023 20:37:47,Cereal first,1
02/04/2023 20:38:50,Cereal first,1
02/04/2023 20:41:26,Milk first,3
02/04/2023 20:48:55,Cereal first,2
02/04/2023 20:52:16,Cereal first,2
02/04/2023 21:07:59,Cereal first,1
02/04/2023 21:39:35,Cereal first,1
02/04/2023 21:47:53,Cereal first,3
02/04/2023 21:55:02,Cereal first,5
02/04/2023 21:55:17,Cereal first,4
02/04/2023 22:31:39,Cereal first,7
02/04/2023 22:34:04,Cereal first,3
03/04/2023 00:12:44,Cereal first,3
03/04/2023 10:02:07,Cereal first,3
03/04/2023 10:02:24,Cereal first,1
03/04/2023 10:52:42,Cereal first,2
03/04/2023 11:08:19,Cereal first,3
03/04/2023 11:10:35,Milk first,2
03/04/2023 11:10:44,Cereal first,1
03/04/2023 11:11:00,Milk first,9
03/04/2023 11:15:05,Cereal first,5
03/04/2023 11:18:37,Cereal first,2
03/04/2023 11:18:45,Cereal first,3
03/04/2023 11:19:08,Milk first,8
03/04/2023 11:19:09,Milk first,3
03/04/2023 11:19:37,Cereal first,3
03/04/2023 11:19:48,Milk first,5
03/04/2023 11:20:40,Milk first,1
03/04/2023 11:21:23,Cereal first,3
03/04/2023 11:21:41,Cereal first,1
03/04/2023 11:22:04,Cereal first,3
03/04/2023 11:22:51,Cereal first,5
03/04/2023 11:23:07,Milk first,2
03/04/2023 11:23:33,Cereal first,2
03/04/2023 11:23:37,Milk first,3
03/04/2023 11:23:48,Milk first,2
03/04/2023 11:24:11,Cereal first,2
03/04/2023 11:24:53,Cereal first,1
03/04/2023 11:24:54,Cereal first,1
03/04/2023 11:24:57,Cereal first,1
03/04/2023 11:25:03,Cereal first,1
03/04/2023 11:25:15,Cereal first,1
03/04/2023 11:25:16,Cereal first,1
03/04/2023 11:26:07,Milk first,3
03/04/2023 11:26:13,Milk first,2
03/04/2023 11:26:27,Milk first,1
03/04/2023 11:26:33,Milk first,4
03/04/2023 11:26:37,Milk first,5
03/04/2023 11:26:42,Cereal first,1
03/04/2023 11:26:50,Cereal first,2
03/04/2023 11:26:57,Cereal first,3
03/04/2023 11:27:02,Cereal first,4
03/04/2023 11:27:09,Cereal first,5
03/04/2023 11:36:41,Cereal first,2
03/04/2023 11:36:48,Milk first,3
03/04/2023 11:36:57,Cereal first,2
03/04/2023 11:37:58,Milk first,2
03/04/2023 11:38:21,Cereal first,1
03/04/2023 11:38:39,Milk first,2
03/04/2023 11:38:57,Cereal first,1
03/04/2023 11:39:01,Cereal first,1
03/04/2023 11:39:05,Cereal first,1
03/04/2023 11:39:29,Cereal first,2
03/04/2023 11:39:34,Cereal first,1
03/04/2023 11:39:42,Milk first,2
03/04/2023 11:39:57,Cereal first,1
03/04/2023 11:40:08,Cereal first,1
03/04/2023 11:40:18,Cereal first,2
03/04/2023 11:40:47,Cereal first,1
03/04/2023 11:40:48,Cereal first,1
03/04/2023 11:40:53,Cereal first,2
03/04/2023 11:40:54,Cereal first,1
03/04/2023 11:41:12,Cereal first,2
03/04/2023 11:41:22,Milk first,9
03/04/2023 11:41:35,Milk first,1
03/04/2023 11:41:41,Milk first,2
03/04/2023 11:41:42,Cereal first,2
03/04/2023 11:42:20,Cereal first,2
03/04/2023 11:42:37,Cereal first,1
03/04/2023 11:42:38,Cereal first,1
03/04/2023 11:42:44,Cereal first,1
03/04/2023 11:43:32,Milk first,3
03/04/2023 11:43:38,Cereal first,2
03/04/2023 11:43:40,Cereal first,1
03/04/2023 11:43:52,Cereal first,1
03/04/2023 11:43:57,Milk first,1
03/04/2023 11:44:37,Cereal first,1
03/04/2023 11:44:38,Milk first,2
03/04/2023 11:44:58,Cereal first,1
03/04/2023 11:45:03,Cereal first,1
03/04/2023 11:45:09,Cereal first,1
03/04/2023 11:45:19,Cereal first,1
03/04/2023 11:45:22,Milk first,1
03/04/2023 11:45:31,Cereal first,3
03/04/2023 11:45:33,Cereal first,1
03/04/2023 11:45:36,Cereal first,7
03/04/2023 11:45:52,Cereal first,3
03/04/2023 11:46:08,Cereal first,1
03/04/2023 11:46:13,Cereal first,2
03/04/2023 11:46:25,Cereal first,2
03/04/2023 11:46:33,Cereal first,1
03/04/2023 11:46:40,Cereal first,3
03/04/2023 11:46:50,Cereal first,4
03/04/2023 11:46:51,Cereal first,1
03/04/2023 11:46:53,Cereal first,1
03/04/2023 11:46:57,Cereal first,1
03/04/2023 11:47:01,Cereal first,1
03/04/2023 11:47:08,Cereal first,1
03/04/2023 11:47:40,Cereal first,5
03/04/2023 11:48:24,Cereal first,1
03/04/2023 11:49:04,Milk first,1
03/04/2023 11:49:11,Cereal first,1
03/04/2023 11:49:34,Cereal first,2
03/04/2023 11:49:36,Cereal first,7
03/04/2023 11:50:04,Cereal first,1
03/04/2023 11:51:24,Cereal first,1
03/04/2023 11:51:28,Cereal first,2
03/04/2023 11:52:45,Cereal first,2
03/04/2023 11:58:51,Milk first,4
03/04/2023 12:09:13,Cereal first,5
03/04/2023 12:11:07,Cereal first,4
03/04/2023 12:11:09,Cereal first,4
03/04/2023 12:21:36,Cereal first,4
03/04/2023 12:38:01,Cereal first,20
03/04/2023 12:59:06,Cereal first,1
03/04/2023 13:08:20,Cereal first,1
03/04/2023 13:09:27,Milk first,1
03/04/2023 13:11:09,Cereal first,1
03/04/2023 13:53:05,Cereal first,1
03/04/2023 13:53:41,Cereal first,2
03/04/2023 14:08:40,Cereal first,1
03/04/2023 14:08:00,Cereal first,2
03/04/2023 14:08:01,Cereal first,1
03/04/2023 14:08:56,Cereal first,1
03/04/2023 14:10:25,Cereal first,1
03/04/2023 14:11:44,Milk first,3
03/04/2023 14:12:11,Cereal first,1
03/04/2023 14:12:18,Cereal first,1
03/04/2023 14:12:39,Cereal first,4
03/04/2023 14:13:09,Cereal first,1
03/04/2023 14:13:39,Milk first,57
03/04/2023 14:14:29,Cereal first,4
03/04/2023 14:16:22,Cereal first,1
03/04/2023 14:16:53,Cereal first,1
03/04/2023 14:16:53,Cereal first,1
03/04/2023 14:22:25,Cereal first,1
03/04/2023 14:47:01,Cereal first,3
03/04/2023 14:47:12,Cereal first,1
03/04/2023 14:48:12,Cereal first,2
03/04/2023 14:48:33,Cereal first,2
03/04/2023 14:59:18,Cereal first,4
03/04/2023 15:48:29,Cereal first,2
03/04/2023 20:03:44,Cereal first,7
03/04/2023 20:06:15,Cereal first,2
03/04/2023 20:09:43,Cereal first,1
03/04/2023 20:10:44,Cereal first,1
03/04/2023 20:12:07,Cereal first,1
03/04/2023 20:13:07,Cereal first,5
03/04/2023 20:13:24,Milk first,3
03/04/2023 20:13:47,Milk first,7
03/04/2023 20:13:51,Cereal first,5
03/04/2023 20:14:17,Cereal first,1
03/04/2023 20:17:25,Cereal first,1
03/04/2023 20:22:03,Cereal first,5
03/04/2023 20:26:49,Cereal first,1
03/04/2023 20:34:27,Cereal first,1
03/04/2023 20:34:59,Cereal first,1
03/04/2023 20:41:51,Cereal first,1
03/04/2023 20:42:21,Milk first,2
03/04/2023 21:22:27,Milk first,1
03/04/2023 22:52:37,Milk first,1
03/04/2023 23:03:07,Cereal first,1
03/04/2023 23:50:23,Cereal first,4
04/04/2023 00:16:33,Milk first,1
04/04/2023 02:02:13,Cereal first,7